"","ISO_Code","country","IPAP","DA_drf","DA_lin","NMB_drf","NMB_lin","NMB_relative"
"1","AND","Andorra",38.4,60.9452760117536,21.3971686483088,1527.99070582475,536.459541495475,184.82869398971
"2","ARM","Armenia",22.6,35.7664343179874,23.4909640625,165.266935470941,108.545336315925,52.2561365418095
"3","AUT","Austria",30.1,45.2281361428984,12.8023878125,1698.30238968032,480.725664813781,253.278910194694
"4","BLR","Belarus",14.1,20.2591951759772,36.26805875,157.452605579539,281.872024031372,-44.1403927471657
"5","BEL","Belgium",35.7,55.262356614289,14.1806878125,1970.47823917458,505.637805967804,289.701524672
"6","BIH","Bosnia and Herzegovina",25.5,41.3378439184569,18.7850746875,200.439849504651,91.0854845434977,120.056851549086
"7","BGR","Bulgaria",38.6,60.9831224846868,24.36504125,431.240725352924,172.296819739631,150.289428443659
"8","HRV","Croatia",31.1,50.4364884275078,18.5997590625,596.273615079637,219.891311262629,171.167428879203
"9","CYP","Cyprus",44.4,69.6761615702298,9.74263125000001,1494.30593766306,208.944801166501,615.167799974259
"10","CZE","Czech Republic",31.1,51.5064139859315,17.70533875,890.768516779028,306.201832294432,190.908943981269
"11","DNK","Denmark",28.5,45.5118198002319,14.171086875,2068.48601058635,644.06774074088,221.159697923536
"12","EST","Estonia",32,49.7661827943627,21.8330028125,746.440357533769,327.47206055041,127.940165728693
"13","FIN","Finland",16.6,25.5703820532195,13.587220625,925.562094881153,491.811829761223,88.1943537898465
"14","FRA","France",29.3,43.8829165496569,12.862045625,1409.45161211766,413.109072200647,241.181471665452
"15","GEO","Georgia",18,26.7768626558416,23.9126559375,113.930973176265,101.744263217268,11.9777858462382
"16","DEU","Germany",42.2,65.2979251085115,13.1051078125,2304.73915199655,462.554591381152,398.263166108626
"17","GRC","Greece",37.7,60.5354069745618,12.202856875,1117.60615336404,225.289439911615,396.075694361216
"18","HUN","Hungary",38.5,60.8212641211711,24.7104171875,759.729478391194,308.662317890783,146.136128174874
"19","IRL","Ireland",32.7,53.239926106143,12.759951875,2704.10893459092,648.090679189663,317.242373856077
"20","ITA","Italy",41.4,64.4803438731831,10.7169425,1784.86309351889,296.652809129472,501.66734936931
"21","KAZ","Kazakhstan",27.5,46.4973067044379,35.392300625,326.728068180786,248.695221965968,31.3768980352569
"22","KGZ","Kyrgyzstan",13.9,20.6299191417487,30.77999375,29.5430215740334,44.0784092829839,-32.976207502483
"23","LVA","Latvia",29.5,45.6408279415114,26.95257125,591.522347211512,349.315490718453,69.3375653037606
"24","LTU","Lithuania",26.5,41.9746514325041,27.48282625,564.505292238695,369.608807562074,52.7304763006463
"25","LUX","Luxembourg",28.4,42.3981962413532,11.4931953125,2947.30882420971,798.948987595324,268.898248820681
"26","MLT","Malta",41.7,63.5424828896165,11.8191184375,1272.58643270591,236.705414804693,437.624554873798
"27","MDA","Moldova",11.5,15.6157271018335,34.08934375,34.0699648952286,74.3751947821576,-54.1917638064434
"28","NLD","Netherlands",27.2,44.2025483084736,11.98569625,1725.51630971139,467.88058955997,268.794164197791
"29","NOR","Norway",31.7,49.5602485934974,11.37046625,2621.49559245756,601.442244631384,335.868217747863
"30","POL","Poland",32.5,52.9617061648402,21.219020625,639.663657729917,256.280194300931,149.595431857214
"31","PRT","Portugal",43.4,68.0176365777228,13.174363125,1243.71906072169,240.896440332919,416.287853404091
"32","ROU","Romania",35.4,57.8128144394277,23.9818596875,441.074086924105,182.965956025005,141.06893790877
"33","RUS","Russia",17.1,25.6393683484742,36.1675496875,199.266817700033,281.090876822043,-29.1094681005291
"34","SRB","Serbia",39.5,62.954896179971,23.2166309375,369.131520577707,136.129051124976,171.16292777125
"35","SVK","Slovakia",34.9,55.3056934457083,22.3702359375,947.643261072301,383.305985586812,147.228923289975
"36","SVN","Slovenia",32.2,49.0504803533643,15.1166709375,956.521322503511,294.786472483468,224.479381446906
"37","ESP","Spain",26.8,40.8303498035121,10.88069125,1023.67893129745,272.795468179393,275.255108939076
"38","SWE","Sweden",23.1,33.9216620902253,10.80739,1353.79499006588,431.317026824109,213.874692134042
"39","CHE","Switzerland",23.7,38.3913222675119,10.2759765625,2478.93192028653,663.520941930517,273.602664759015
"40","TJK","Tajikistan",29.3,45.875342784039,5.6923636907397,65.6956642569835,8.15173448656146,705.910255851514
"41","TUR","Turkey",30.6,49.6225062370744,17.170965625,571.382758018923,197.716609672778,188.990772684482
"42","GBR","UK",35.9,55.4711085769152,13.3841228125,2239.07550230902,540.246306197592,314.454569447826
"43","UKR","Ukraine",19.6,33.4632543989693,32.9050665625,62.5426163380264,61.4993667101025,1.69635832648749
"44","UZB","Uzbekistan",19.1,29.5627961260224,34.8802884375,42.3353246194934,49.9502255310451,-15.2449780368236
