"","ISO_Code","country","IPAP","DA_drf","DA_lin","NMB_drf","NMB_lin","NMB_relative"
"1","AND","Andorra",38.4,6.74324777039845,39.3263252631865,169.063471273068,985.970749969222,-82.853094650288
"2","ARM","Armenia",22.6,4.00154403445245,43.1745577488225,18.4900433139736,199.49785281986,-90.7317081098263
"3","AUT","Austria",30.1,5.44561084755029,23.5297891760845,204.480986933526,883.536236385302,-76.8565251188686
"4","BLR","Belarus",14.1,2.54692596934133,66.6578601360696,19.7944748844962,518.058771319103,-96.1791063137306
"5","BEL","Belgium",35.7,6.24925722024959,26.0629969570371,222.828451733498,929.32280666141,-76.0224918471539
"6","BIH","Bosnia and Herzegovina",25.5,4.52921156460812,34.5255005181383,21.961340948879,167.40800854489,-86.8815469822699
"7","BGR","Bulgaria",38.6,6.75200722844791,44.7810433706233,47.7466613080565,316.668101572817,-84.9221752772351
"8","HRV","Croatia",31.1,5.58280557343191,34.1849048690183,66.0014161442182,404.143060766418,-83.6687988607171
"9","CYP","Cyprus",44.4,7.5110362629944,17.9061955230731,161.08502295268,384.02422992423,-58.0534220498372
"10","CZE","Czech Republic",31.1,5.54799055307637,32.5410301718791,95.9487359655393,562.775059210757,-82.9507839064334
"11","DNK","Denmark",28.5,5.00000513171221,26.0453511835629,227.247354933366,1183.74621802607,-80.8026964333363
"12","EST","Estonia",32,5.76779344768493,40.127354426601,86.510830478213,601.868077944472,-85.6262803015457
"13","FIN","Finland",16.6,3.0552298903404,24.9722506049257,110.589078088918,903.911741939813,-87.7655004401655
"14","FRA","France",29.3,5.32155737322718,23.6394355773176,170.920216986587,759.262218733781,-77.4886445328953
"15","GEO","Georgia",18,3.20179102342688,43.9495944889476,13.6230734681113,186.998011499143,-92.7148565062823
"16","DEU","Germany",42.2,7.35999992390957,24.086164899403,259.776707378331,850.139222231782,-69.4430393769662
"17","GRC","Greece",37.7,6.67022439567304,22.4278981249369,123.145844745964,414.064399731951,-70.2592531920919
"18","HUN","Hungary",38.5,6.73483235512689,45.4158173764485,84.126016552682,567.297239619664,-85.1707340213601
"19","IRL","Ireland",32.7,5.83678864409715,23.4517952364001,296.456315329123,1191.14006477986,-75.1115486671241
"20","ITA","Italy",41.4,7.18420243019871,19.6969035253727,198.863979374082,545.224700230874,-63.5262343599118
"21","KAZ","Kazakhstan",27.5,4.8456557802412,65.048285082393,34.0495367228691,457.082399600896,-92.550678662622
"22","KGZ","Kyrgyzstan",13.9,2.68061942276323,56.5712251796933,3.83877401042272,81.0126745756849,-95.2615142870806
"23","LVA","Latvia",29.5,5.33226926949362,49.5367214736838,69.1082212245738,642.014597036383,-89.2357243053996
"24","LTU","Lithuania",26.5,4.6629861452314,50.5112887608411,62.7111903681103,679.312128872411,-90.768427692848
"25","LUX","Luxembourg",28.4,5.16075138611951,21.123595584149,358.749415028819,1468.40585646133,-75.568783422496
"26","MLT","Malta",41.7,7.3942057975185,21.7226168394942,148.086218080331,435.04607021465,-65.9607962882493
"27","MDA","Moldova",11.5,2.16314916593421,62.6535520823236,4.71949949342215,136.695800719744,-96.5474436898774
"28","NLD","Netherlands",27.2,4.80718507119008,22.0287738523064,187.656064221742,859.927991025166,-78.1777002051035
"29","NOR","Norway",31.7,5.56990083684662,20.8980291500824,294.62060640541,1105.40388441834,-73.3472434321651
"30","POL","Poland",32.5,5.79809836715103,38.9989031063215,70.0285749455685,471.022986510305,-85.1326629588944
"31","PRT","Portugal",43.4,7.40471039929973,24.2134507562537,135.39693417912,442.748847896049,-69.4190205525031
"32","ROU","Romania",35.4,6.34334513507833,44.0767855779493,48.3955882554476,336.277141008464,-85.6084216398671
"33","RUS","Russia",17.1,3.22628265510765,66.473132327043,25.0743726969534,516.623083741113,-95.1464861934976
"34","SRB","Serbia",39.5,6.90178270104538,42.6703548852782,40.4681080856795,250.194566874758,-83.8253449740429
"35","SVK","Slovakia",34.9,6.12637101736762,41.1147469626494,104.973174509352,704.486472592469,-85.0993342536363
"36","SVN","Slovenia",32.2,5.7489233308689,27.7832608582852,112.108336305759,541.794519200957,-79.3079604291498
"37","ESP","Spain",26.8,4.73629840465177,19.997860942206,118.746200130832,501.376770369757,-76.3159749018171
"38","SWE","Sweden",23.1,4.25398919966128,19.8631389681411,169.774383430206,792.727017636333,-78.5834997857875
"39","CHE","Switzerland",23.7,4.22393867310701,18.8864425633107,272.740186783264,1219.49968288715,-77.6350752189164
"40","TJK","Tajikistan",29.3,5.17597304711515,10.462119998109,7.41223862036798,14.9822514906891,-50.5265371831837
"41","TUR","Turkey",30.6,5.50251923297958,31.558894092519,63.3592467170276,363.387690667228,-82.564283726647
"42","GBR","UK",35.9,6.32208660663785,24.5989726836318,255.189225662776,992.930527817325,-74.2993876697762
"43","UKR","Ukraine",19.6,3.50039578182339,60.4769430812501,6.54221815378989,113.031034080887,-94.2120160122501
"44","UZB","Uzbekistan",19.1,3.48191818936707,64.1072466601935,4.98627180652978,91.8046143623149,-94.5686043766264
