"","ISO3 Code","Country","DRF","Lin","DRF","Lin"
"1","AND","Andorra",46.3,19.01,1160.89,476.65
"2","ARM","Armenia",29.56,20.87,136.6,96.44
"3","AUT","Austria",21.59,11.38,810.84,427.13
"4","BLR","Belarus",27.98,32.22,217.47,250.45
"5","BEL","Belgium",28.5,12.6,1016.1,449.27
"6","BIH","Bosnia and Herzegovina",26.84,16.69,130.12,80.93
"7","BGR","Bulgaria",52.99,21.65,374.71,153.09
"8","HRV","Croatia",32.47,16.53,383.81,195.38
"9","CYP","Cyprus",24.44,8.66,524.1,185.65
"10","CZE","Czech Republic",30.9,15.73,534.47,272.06
"11","DNK","Denmark",22.63,12.59,1028.42,572.26
"12","EST","Estonia",39.23,19.4,588.37,290.96
"13","FIN","Finland",12.42,12.07,449.38,436.98
"14","FRA","France",21.12,11.43,678.49,367.05
"15","GEO","Georgia",23.82,21.25,101.35,90.4
"16","DEU","Germany",31.21,11.64,1101.75,410.99
"17","GRC","Greece",25.94,10.84,478.84,200.17
"18","HUN","Hungary",53.61,21.96,669.64,274.25
"19","IRL","Ireland",23.45,11.34,1191.25,575.84
"20","ITA","Italy",25.03,9.52,692.92,263.58
"21","KAZ","Kazakhstan",54.48,31.45,382.79,220.97
"22","KGZ","Kyrgyzstan",23.61,27.35,33.82,39.16
"23","LVA","Latvia",44.59,23.95,577.86,310.37
"24","LTU","Lithuania",40.68,24.42,547.1,328.4
"25","LUX","Luxembourg",18.29,10.21,1271.35,709.88
"26","MLT","Malta",27.81,10.5,556.87,210.32
"27","MDA","Moldova",21.05,30.29,45.92,66.08
"28","NLD","Netherlands",18.23,10.65,711.69,415.72
"29","NOR","Norway",20.22,10.1,1069.79,534.39
"30","POL","Poland",38.78,18.85,468.39,227.71
"31","PRT","Portugal",32.3,11.71,590.59,214.04
"32","ROU","Romania",47.76,21.31,364.37,162.57
"33","RUS","Russia",34.13,32.14,265.29,249.75
"34","SRB","Serbia",51.74,20.63,303.35,120.95
"35","SVK","Slovakia",43.91,19.88,752.46,340.57
"36","SVN","Slovenia",27.34,13.43,533.2,261.92
"37","ESP","Spain",16.33,9.67,409.35,242.38
"38","SWE","Sweden",13.9,9.6,554.7,383.23
"39","CHE","Switzerland",13.58,9.13,876.74,589.55
"40","TJK","Tajikistan",9.35,5.06,13.39,7.24
"41","TUR","Turkey",29.49,15.26,339.56,175.67
"42","GBR","UK",27.07,11.89,1092.83,480.02
"43","UKR","Ukraine",35.84,29.24,66.99,54.64
"44","UZB","Uzbekistan",36.84,30.99,52.76,44.38
