"","ISO_Code","country","IPAP","DA_drf","DA_lin","NMB_drf","NMB_lin","NMB_relative"
"1","AND","Andorra",38.4,89.9228745852668,14.2587746497074,2254.50314772278,357.489153663044,530.649384637776
"2","ARM","Armenia",22.6,52.754810020415,15.654050700677,243.765584959107,72.3330976749488,237.004210789565
"3","AUT","Austria",30.1,66.2102134891486,8.53133261680519,2486.17284237837,320.348875852425,676.082898921634
"4","BLR","Belarus",14.1,29.3301334988051,24.1685283318769,227.951105721051,187.835584080323,21.3567210053097
"5","BEL","Belgium",35.7,81.1443865143495,9.4498125064912,2893.34834150656,336.949979138349,758.687793631994
"6","BIH","Bosnia and Herzegovina",25.5,61.3554655228868,12.5181116786756,297.501734728943,60.6980960571058,390.133552869679
"7","BGR","Bulgaria",38.6,89.2983753050385,16.2365235431294,631.471373887952,114.816196755211,449.984576857439
"8","HRV","Croatia",31.1,74.2531152136937,12.3946199317358,877.840127649458,146.532501858386,499.075369980263
"9","CYP","Cyprus",44.4,102.528716238066,6.49235353388343,2198.87643065822,139.237900258198,1479.22263017519
"10","CZE","Czech Republic",31.1,76.3279022511091,11.7985907146148,1320.03933132767,204.048628852532,546.923891991293
"11","DNK","Denmark",28.5,67.2781684228911,9.44341457569538,3057.75402546997,429.19775626932,612.434764815321
"12","EST","Estonia",32,72.7376512047152,14.54920845588,1090.98820369169,218.222812195888,399.942326246061
"13","FIN","Finland",16.6,37.4757605483726,9.05433425291268,1356.49687862403,327.736541497036,313.898576102567
"14","FRA","France",29.3,63.9748208284065,8.5710877506976,2054.7725958347,275.290121935095,646.402588436918
"15","GEO","Georgia",18,39.5670308175344,15.9350602826487,168.350952263392,67.8009574519199,148.301732881539
"16","DEU","Germany",42.2,95.433946896114,8.73306100119592,3368.41260232269,308.239926043329,992.78919365209
"17","GRC","Greece",37.7,89.2231579525395,8.13181356482931,1647.24010845806,150.129739474312,997.211061729652
"18","HUN","Hungary",38.5,89.0545743982907,16.466677249126,1112.3968949605,205.688262124759,440.816905869806
"19","IRL","Ireland",32.7,78.5684393980684,8.50305390012977,3990.56938076156,431.878586322757,824.002603310198
"20","ITA","Italy",41.4,94.6084755932568,7.14162095710032,2618.83182187426,197.685293045261,1224.74792713824
"21","KAZ","Kazakhstan",27.5,68.7461490542076,23.5849353361273,483.066613258393,165.727026073236,191.483305230447
"22","KGZ","Kyrgyzstan",13.9,29.2203594399187,20.5113583864443,41.8449390617123,29.3732369555032,42.4594065853286
"23","LVA","Latvia",29.5,66.5852293770591,17.9608174333995,862.969690672763,232.778969296017,270.72493846098
"24","LTU","Lithuania",26.5,62.2475924771365,18.3141719671769,837.150379651523,246.302152504239,239.887561330636
"25","LUX","Luxembourg",28.4,61.8182012913958,7.65890500091767,4297.28965651602,532.408458239357,707.141507617458
"26","MLT","Malta",41.7,92.607122580337,7.87609562407382,1854.67363578467,157.737185865121,1075.79987598522
"27","MDA","Moldova",11.5,22.3274187125503,22.7166630537391,48.7133494826727,49.5625921054139,-1.71347499528465
"28","NLD","Netherlands",27.2,65.300394430854,7.98710075419726,2549.10406600756,311.789096920314,717.573190078244
"29","NOR","Norway",31.7,73.0342467236919,7.57712006600781,3863.15568057374,400.792720381298,863.878704408227
"30","POL","Poland",32.5,78.1591540864046,14.1400592925309,943.994708787846,170.781545810223,452.749832723051
"31","PRT","Portugal",43.4,100.107348848203,8.77921177518212,1830.48726985031,160.530026803115,1040.27718446428
"32","ROU","Romania",35.4,85.9076922889823,15.9811766961043,655.419690314855,121.925960317886,437.555487449958
"33","RUS","Russia",17.1,37.0395914347131,24.1015504949492,287.868305248007,187.315038478745,53.6813635391435
"34","SRB","Serbia",39.5,92.8967839815365,15.471238933727,544.693633198193,90.7145003702604,500.448253559211
"35","SVK","Slovakia",34.9,81.0876042066076,14.9072131147973,1389.40707358317,255.42976083419,443.948782258421
"36","SVN","Slovenia",32.2,72.1365340179472,10.0735386019697,1406.71676245743,196.441592343862,616.099246434043
"37","ESP","Spain",26.8,59.3454543207252,7.2507408394454,1487.88074431769,181.787093898465,718.47435503245
"38","SWE","Sweden",23.1,48.9331436128394,7.20189390915892,1952.8950113068,287.423648855189,579.448270552962
"39","CHE","Switzerland",23.7,57.1313523688033,6.84776740879422,3688.97773432544,442.161098127186,734.306263022785
"40","TJK","Tajikistan",29.3,67.6893926263247,3.79331174252577,96.9344170935621,5.43220212723401,1684.44054221744
"41","TUR","Turkey",30.6,72.9129813631729,11.4424919197942,839.563003682908,131.755590104727,537.212434793523
"42","GBR","UK",35.9,81.0871659529009,8.9189927043235,3273.06036411834,360.012600826846,809.151612082761
"43","UKR","Ukraine",19.6,50.7085546689761,21.9274772592585,94.7739763116195,40.9823199242942,131.255762208419
"44","UZB","Uzbekistan",19.1,43.6079173946413,23.2437375580726,62.4486036778208,33.2861333784704,87.6114686189798
