"","ISO3 Code","Country","DRF","Lin","DRF","Lin"
"1","AND","Andorra",9.75,52.44,244.51,1314.63
"2","ARM","Armenia",10.23,57.57,47.27,266
"3","AUT","Austria",5.7,31.37,214,1178.05
"4","BLR","Belarus",15.4,88.88,119.69,690.75
"5","BEL","Belgium",6.41,34.75,228.68,1239.1
"6","BIH","Bosnia and Herzegovina",8.25,46.03,39.98,223.21
"7","BGR","Bulgaria",11.11,59.71,78.57,422.22
"8","HRV","Croatia",8.3,45.58,98.16,538.86
"9","CYP","Cyprus",4.26,23.87,91.42,512.03
"10","CZE","Czech Republic",7.9,43.39,136.69,750.37
"11","DNK","Denmark",6.28,34.73,285.37,1578.33
"12","EST","Estonia",9.77,53.5,146.55,802.49
"13","FIN","Finland",5.81,33.3,210.26,1205.22
"14","FRA","France",5.71,31.52,183.46,1012.35
"15","GEO","Georgia",10.27,58.6,43.7,249.33
"16","DEU","Germany",5.88,32.11,207.65,1133.52
"17","GRC","Greece",5.55,29.9,102.44,552.09
"18","HUN","Hungary",11.26,60.55,140.71,756.4
"19","IRL","Ireland",5.72,31.27,290.59,1588.19
"20","ITA","Italy",4.85,26.26,134.15,726.97
"21","KAZ","Kazakhstan",15.64,86.73,109.88,609.44
"22","KGZ","Kyrgyzstan",13.04,75.43,18.68,108.02
"23","LVA","Latvia",11.98,66.05,155.21,856.02
"24","LTU","Lithuania",12.11,67.35,162.85,905.75
"25","LUX","Luxembourg",5.09,28.16,353.93,1957.87
"26","MLT","Malta",5.33,28.96,106.78,580.06
"27","MDA","Moldova",14.36,83.54,31.34,182.26
"28","NLD","Netherlands",5.29,29.37,206.47,1146.57
"29","NOR","Norway",5.09,27.86,268.99,1473.87
"30","POL","Poland",9.51,52,114.82,628.03
"31","PRT","Portugal",5.84,32.28,106.74,590.33
"32","ROU","Romania",10.84,58.77,82.69,448.37
"33","RUS","Russia",15.49,88.63,120.41,688.83
"34","SRB","Serbia",10.6,56.89,62.13,333.59
"35","SVK","Slovakia",10.09,54.82,172.97,939.32
"36","SVN","Slovenia",6.77,37.04,132,722.39
"37","ESP","Spain",4.8,26.66,120.26,668.5
"38","SWE","Sweden",4.71,26.48,188.1,1056.97
"39","CHE","Switzerland",4.49,25.18,289.92,1626
"40","TJK","Tajikistan",2.53,13.95,3.62,19.98
"41","TUR","Turkey",7.65,42.08,88.11,484.52
"42","GBR","UK",6.05,32.8,244.36,1323.91
"43","UKR","Ukraine",14.2,80.64,26.54,150.71
"44","UZB","Uzbekistan",15.04,85.48,21.54,122.41
