"","ISO3 Code","Country","DRF","Lin","DRF","Lin"
"1","AND","Andorra",22.5938288798334,28.529558197745,566.461632411381,715.279388660631
"2","ARM","Armenia",15.2039263469936,31.3212854166666,70.2531958359029,144.727115087899
"3","AUT","Austria",10.7272845511338,17.0698504166667,402.806185300473,640.96755308504
"4","BLR","Belarus",15.4016556982671,48.3574116666666,119.700254569177,375.829365375162
"5","BEL","Belgium",13.9530707166153,18.90758375,497.521711002193,674.183741290403
"6","BIH","Bosnia and Herzegovina",13.498746112786,25.04676625,65.4530179340161,121.447312724663
"7","BGR","Bulgaria",25.8287120388084,32.4867216666666,182.647133513776,229.729092986174
"8","HRV","Croatia",16.1587438703905,24.79967875,191.032978764809,293.188415016838
"9","CYP","Cyprus",11.7787306650473,12.990175,252.611894430684,278.593068222001
"10","CZE","Czech Republic",15.3817064532069,23.6071183333333,266.016186772311,408.269109725908
"11","DNK","Denmark",11.2788185818983,18.8947825,512.615811782574,858.756987654505
"12","EST","Estonia",19.3644411307972,29.1106704166666,290.446233757579,436.629414067212
"13","FIN","Finland",6.59230253760523,18.1162941666666,238.619248398285,655.749106348295
"14","FRA","France",10.5794985281947,17.1493941666666,339.797179138884,550.812096267528
"15","GEO","Georgia",12.5126163956368,31.88354125,53.2390437691996,135.659017623024
"16","DEU","Germany",15.0935726263099,17.4734770833333,532.738945648754,616.739455174868
"17","GRC","Greece",12.7277157907607,16.2704758333333,234.979397957964,300.385919882153
"18","HUN","Hungary",26.1433071624787,32.9472229166666,326.560807325559,411.549757187709
"19","IRL","Ireland",11.6303432253362,17.0132691666666,590.716729495269,864.120905586216
"20","ITA","Italy",12.1736896681542,14.2892566666667,336.976636529345,395.537078839295
"21","KAZ","Kazakhstan",27.4787476675094,47.1897341666666,193.088133007405,331.593629287957
"22","KGZ","Kyrgyzstan",13.0088185964307,41.0399916666666,18.6292445358785,58.7712123773118
"23","LVA","Latvia",22.2665467211522,35.9367616666666,288.582845115553,465.753987624603
"24","LTU","Lithuania",20.4611203070793,36.6437683333333,275.175857435104,492.811743416098
"25","LUX","Luxembourg",9.12268278962916,15.3242604166667,634.162909508765,1065.26531679376
"26","MLT","Malta",13.4915701228604,15.7588245833333,270.20016079759,315.60721973959
"27","MDA","Moldova",11.9360300366393,45.4524583333333,26.0417028092754,99.1669263762099
"28","NLD","Netherlands",9.13854900895786,15.9809283333333,356.73769874102,623.840786079958
"29","NOR","Norway",10.0075500470174,15.1606216666666,529.350620388067,801.922992841844
"30","POL","Poland",19.269491358765,28.2920275,232.734068022256,341.706925734574
"31","PRT","Portugal",15.6050334816936,17.5658175,285.341840159427,321.195253777224
"32","ROU","Romania",23.3980490833488,31.9758129166666,178.511861692123,243.954608033339
"33","RUS","Russia",18.339740083792,48.2233995833333,142.534776764906,374.787835762723
"34","SRB","Serbia",25.2839637714422,30.9555079166666,148.250708991772,181.505401499968
"35","SVK","Slovakia",21.590054989952,29.82698125,369.937864308545,511.074647449081
"36","SVN","Slovenia",13.4858495361641,20.15556125,262.984226463958,393.048629977956
"37","ESP","Spain",8.17674152722367,14.5075883333333,205.003338652851,363.727290905857
"38","SWE","Sweden",7.08738831592308,14.4098533333333,282.85379322592,575.089369098811
"39","CHE","Switzerland",6.8861234659034,13.7013020833333,444.637752972303,884.694589240686
"40","TJK","Tajikistan",4.68217537427136,7.58981825431958,6.70509695869711,10.8689793154152
"41","TUR","Turkey",14.6117111069216,22.8946208333333,168.247846083415,263.62214623037
"42","GBR","UK",13.3458797293742,17.8454970833333,538.702635036935,720.328408263455
"43","UKR","Ukraine",18.6226814131456,43.8734220833333,34.8056768454517,81.9991556134699
"44","UZB","Uzbekistan",19.3966398773281,46.5070512499999,27.7769072395446,66.6003007080599
