"","Algeria","American Samoa","Andorra","Argentina","Armenia","Australia","Austria","Bahamas","Bangladesh","Barbados","Belarus","Belgium","Benin","Bermuda","Bhutan","Bosnia and Herzegovina","Botswana","Brazil","British Virgin Islands","Brunei Darussalam","Bulgaria","Burkina Faso","Cabo Verde","Cambodia","Cameroon","Canada","Cayman Islands","Central African Republic","Chad","Chile","China","Colombia","Comoros","Cook Islands","Costa Rica","Ivory Coast","Croatia","Cuba","Cyprus","Czech Republic","Denmark","Dominica","Dominican Republic","Ecuador","Egypt","Eritrea","Estonia","Ethiopia","Fiji","Finland","France","French Polynesia","Gabon","Gambia","Georgia","Germany","Ghana","Greece","Grenada","Guatemala","Guinea","Hungary","India","Indonesia","Iran","Iraq","Ireland","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kiribati","Kuwait","Kyrgyzstan","Lao People's Democratic Republic","Latvia","Lebanon","Lesotho","Liberia","Libya","Lithuania","Luxembourg","Madagascar","Malawi","Malaysia","Maldives","Mali","Malta","Marshall Islands","Mauritania","Mauritius","Mexico","Micronesia (Federated States of)","Mongolia","Morocco","Mozambique","Myanmar","Namibia","Nauru","Nepal","Netherlands","New Zealand","Niger","Nigeria","Niue","Norway","Oman","Pakistan","Palau","Papua New Guinea","Paraguay","Philippines","Poland","Portugal","Qatar","South Korea","Moldova","Romania","Russia","Rwanda","Saint Kitts and Nevis","Saint Lucia","Samoa","Sao Tome and Principe","Saudi Arabia","Senegal","Serbia","Seychelles","Sierra Leone","Singapore","Slovakia","Slovenia","Solomon Islands","South Africa","Spain","Sri Lanka","State of Palestine","Suriname","Swaziland","Sweden","Switzerland","Tajikistan","Thailand","Timor-Leste","Togo","Tokelau","Tonga","Trinidad","Tunisia","Turkey","Tuvalu","Uganda","Ukraine","United Arab Emirates","UK","Tanzania","USA","Uruguay","Uzbekistan","Vanuatu","Venezuela","Vietnam","Zambia","Zimbabwe"
"11",0,0,0,0,0,0,0,0,0,0,240.283687943262,0,220.377358490567,0,0,0,0,0,0,0,0,0,0,673.142857142854,0,0,0,240,0,0,240.283687943262,0,240,20.7567567567564,0,0,0,0,0,0,0,0,0,0,0,0,0,240,101.724137931034,120,0,63.6871508379891,0,0,56.3333333333334,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,480,0,240,0,0,256.402877697842,147.239263803682,0,0,2146.47619047619,0,0,0,0,117.558139534884,240,0,0,0,0,0,0,0,0,0,13.8709677419349,0,3033.21428571429,588.785046728973,0,0,317.611940298506,0,0,0,0,1707.82608695651,0,0,0,0,240,0,0,0,0,0,0,480,0,120,240,0,0,400.952380952378,240,0,0,0,0.319148936170253,240,0,0,0,41.8681318681313,0,0,0,0,0,0,0,0,0,0,71.1235955056173,720,480,101.724137931034,0,0,0,0,3312.00000000001,0,0,0,1920,0,0,0,1200,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,360,0,240,0,0,0,0,0,0,0,0,13.3004926108376,52.0812182741112,723.428571428568,0,0,0,360,0,0,360,0,360,120,0,0,0,0,0,0,0,0,0,0,0,0,0,276.510067114093,211.034482758619,240,0,128.044692737431,0,0,120,0,0,0,0,0,336.827586206895,0,0,0,0,0,0,0,0,0,504.20168067227,0,240,0,0,360,240,0,0,2880,0,0,0,0,240,240,0,0,0,0,0,0,0,0,0,120,0,3951.42857142857,720,0,0,480,0,0,0,0,2135.92173913043,0,0,0,0,288.648648648649,0,0,0,0,0,0,655.304347826088,0,240,320.547945205478,0,0,480,240,0,0,0,114.893617021277,360,0,0,0,120,0,0,0,0,0,0,0,0,0,0,144.269662921347,960,720,211.034482758619,0,0,0,0,4239.27272727273,58.7755102040816,0,0,2553.23076923076,0,0,93.298429319372,1440,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,480,0,308.176100628931,0,0,0,30.4147465437785,0,0,0,0,119.408866995074,120,960,0,0,0,480,0,0,480,0,480,240,0,0,0,0,0,0,0,36.3888888888889,0,0,0,0,0,398.657718120804,240,244.578313253011,0,240,0,67.1090047393367,240,0,24.4954128440363,0,0,0,480,0,0,0,0,0,0,0,0,0,720,0,360,0,0,480,265.276073619632,0,0,3600,0,0,0,0,240,353.333333333333,0,0,0,0,0,0,0,0,0,240,0,5388.57142857143,960,0,0,480,0,0,0,0,2793.04347826085,0,0,0,0,424.054054054054,0,0,0,0,0,0,720,0,240,475.890410958902,0,0,604.761904761901,360,0,0,0,218.936170212766,480,0,0,0,240,0,0,0,0,0,0,0,0,0,0,240,1057.34693877551,845.405405405407,240,0,0,0,0,5736.72727272728,120,0,0,3311.99999999998,0,0,172.146596858639,1840.5,0,0,7.05882352941156,0
"14",0,0,0,0,74.3362831858401,0,0,0,0,0,480,0,433.207547169812,0,51.1304347826084,0,120,0,0,0,0,211.034482758621,240,1072,0,0,0,480,34.2489270386267,0,480,0,480,240,0,0,0,0,0,0,0,120,0,0,0,86.2500000000001,0,480,275.402298850574,360,0,243.128491620112,0,120,240,0,120,0,0,0,480,0,0,74.3362831858401,0,0,0,0,0,0,868.235294117648,0,480,0,0,498.992805755397,360,0,0,4506.66666666667,0,0,0,0,297.674418604651,480,0,0,0,0,0,0,0,0,0,240,0,7685.40000000001,1018.31775700935,0,0,660.895522388058,0,0,86.2500000000001,0,3360,0,0,0,0,480,0,0,0,0,0,0,960,0,311.345029239767,480,0,0,720,480,0,45.4545454545457,0,240,480,0,0,0,240,0,0,0,0,0,0,45.4545454545457,12.4050632911391,0,0,249.43820224719,1354.28571428571,960,275.402298850574,0,0,0,0,8674.90909090909,240,0,0,4037.53846153845,0,86.2500000000001,240,2152.545,0,0,104.524886877828,0
"15",0,0,0,0,120,0,0,0,0,0,720,0,480,0,120,7.05882352941193,217.880184331798,0,0,0,0,240,240,1354.28571428572,0,0,0,678.881118881119,120,0,720,0,678.881118881119,288.648648648649,0,0,0,0,0,0,0,231.666666666667,0,0,0,124.821428571429,0,496.912751677851,360,480,0,360,17.0750988142292,240,353.333333333333,0,204.220183486238,0,0,0,616.551724137932,0,0,120,0,0,0,0,0,0,960,0,480,0,0,720,480,0,0,5874.28571428571,27.2509960159368,0,0,0,396.976744186046,480,0,0,0,0,0,0,0,0,0,278.064516129032,0,10000,1239.2523364486,0,0,720,0,0,124.821428571429,0,4205.21739130434,0,0,0,0,526.216216216215,0,0,0,0,0,0,1009.56521739131,0,418.947368421054,586.027397260271,0,0,928.571428571427,480,0,120,0,265.744680851063,678.881118881119,0,0,0,327.032967032967,0,0,0,0,0,0,120,103.291139240506,0,53.4146341463415,360,1591.83673469387,1141.62162162162,360,0,0,0,0,10000,240,0,0,5243.07692307692,0,124.821428571429,247.748691099476,2715,0,12.0472440944882,163.981900452488,0
"16",0,0,0,0,240,0,0,0,0,0,720,0,495.09433962264,55.4198473282442,236.869565217391,91.5294117647058,240,0,0,2.41758241758261,0,251.822660098522,292.588832487309,1552.76190476191,0,0,0,720,198.283261802576,35.6390977443604,720,0,720,365.837837837839,0,0,0,0,0,0,0,240,0,7.05882352941176,0,240,0,720,480,480,0,480,102.213438735178,240,469.333333333331,0,240,0,0,0,720,0,0,240,0,0,0,0,0,0,1112.26890756302,0,635.844155844153,0,0,758.848920863311,480,0,0,8525.71428571424,113.067729083666,0,40.5283018867927,0,480,578.461538461536,0,0,0,0,0,0,0,0,0,360,55.4198473282442,10000,1440,0,0,943.880597014924,7.05882352941176,0,240,11.7343173431732,5358.84057971011,0,0,0,0,720,0,0,0,0,0,0,1200,0,480,720,0,0,960,606.967741935486,0,223.896103896104,0,360,720,0,0,0,427.252747252747,0,25.970149253731,0,0,0,0,223.896103896104,148.354430379746,0,120,480,1873.46938775509,1409.72972972973,480,0,0,0,2.41758241758261,10000,304.489795918366,0,0,6897.23076923078,0,240,360,3312,0,96.8503937007873,240,25.970149253731
"17",0,0,0,0,240,0,0,0,57.1942446043165,0,960,0,720,120,240,120,244.976958525346,0,76.4233576642331,81.3186813186817,0,360,360,1814.85714285715,24.8421052631578,20.3496503496505,0,921.3986013986,240,116.616541353383,960,0,921.3986013986,480,0,0,0,0,0,0,24.8421052631578,250.185185185185,0,86.2500000000001,0,240,0,720,480,571.807228915662,0,480,134.703557312253,276.96682464455,480,0,240,0,15.8885017421602,0,850.758620689658,0,0,240,0,0,0,0,0,0,1354.28571428571,71.5636363636368,720,0,0,960,653.006134969327,0,0,10000,157.76892430279,0,120,29.3661971830995,480,720,0,0,0,0,0,0,0,7.05882352941224,0,480,120,10000,1684.48598130842,0,0,960,86.2500000000001,0,240,91.2177121771215,6935.65217391299,0,0,0,0,748.378378378375,0,0,0,0,0,0,1440,0,480,816.16438356164,0,0,1132.38095238095,720,0,240,0,480,921.3986013986,0,0,0,480,0,106.343283582089,7.05882352941224,0,0,47.7857142857144,240,240,0,217.073170731708,480,2129.13673469387,1597.11711711711,480,0,0,0,81.3186813186817,10000,376.530612244896,0,0,10000,0,240,474.345549738219,3874.5,0,123.307086614173,240,106.343283582089
"18",0,0,0,0,263.716814159291,15.3947368421054,28.1063122923586,0,120,0,960,0,720,199.69465648855,243.826086956522,240,342.304147465439,0,120,120,0,459.901477832514,480,2027.16000000001,100.421052631579,95.664335664336,72.3711340206191,960,240,155.187969924811,960,0,960,480,0,0,0,0,0,0,100.421052631579,353.333333333334,0,120,0,273.928571428572,0,960,616.551724137932,720,63.2764505119452,492.067039106147,240,360,480,0,331.37614678899,0,90.9407665505225,0,960,0,0,263.716814159291,0,0,0,0,0,0,1488.40336134453,120,835.324675324672,0,0,989.352517985613,720,54.3050847457626,0,10000,240,0,166.188679245284,105.211267605635,668.372093023253,770.769230769227,0,19.6039603960396,0,0,0,0,41.0738255033554,81.5916955017308,0,480,199.69465648855,10000,1920,0,0,1106.86567164179,120,0,273.928571428572,120,10000,0,0,0,0,960,0,0,0,0,0,0,1680,0,694.736842105266,960,0,0,1354.28571428571,802.838709677422,0,240,0,480,960,0,0,0,480,0,133.432835820894,81.5916955017308,0,0,120,240,240,63.2764505119452,240,516.40449438202,2512.65306122448,1825.94594594594,616.551724137932,0,15.3947368421054,7.05882352941147,120,10000,480,0,0,10000,0,273.928571428572,480,4746,0,240,299.185520361991,133.432835820894
"19",0,0,0,0,360,86.25,99.6677740863784,0,184.31654676259,0,1125.10638297872,0,947.924528301884,240,332.521739130435,240,411.981566820278,0,227.299270072991,238.241758241759,0,480,480,2400,120,120,120,1061.95804195804,301.97424892704,240,1125.10638297872,0,1061.95804195804,584.432432432435,0,0,55.9485530546622,0,0,55.9485530546622,120,429.444444444445,0,240,60.1935483870969,360,18.9375,960,720,730.843373493976,120,720,240,480,707.33333333333,0,394.678899082567,0,120,0,1022.48275862069,0,0,360,0,0,0,0,0,0,1718.31932773109,216.436363636365,960,0,0,1200,821.595092024542,120,0,10000,240,0,240,122.11267605634,720,960,0,90.6930693069304,0,0,0,0,113.355704697986,120,0,560.645161290319,240,10000,2339.43925233646,0,0,1308.35820895522,240,0,360,240,10000,31.0410094637223,0,0,0,965.270270270267,0,0,0,0,0,0,1920,0,720,1003.1506849315,10.9937888198754,0,1461.5873015873,960,0,322.251082251082,0,513.829787234039,1061.95804195804,0,0,10.9937888198754,657.362637362638,0,240,120,0,0,163.285714285714,322.251082251082,271.223628691983,120,240,720,2916.12244897959,2008.91891891891,720,0,86.25,77.4509803921564,238.241758241759,10000,480,0,0,10000,0,360,480,5823,43.3757961783435,240,360,240
"20",22.1428571428572,0,0,0,452.389380530971,120,120,0,240,0,1310.63829787234,0,960,240,386.08695652174,246.274509803921,480,0,240,240,0,480,533.604060913704,2880,240,240,200.824742268042,1225.17482517482,360,240,1310.63829787234,0,1225.17482517482,720,0,41.5105740181273,120,0,0,120,240,480,0,240,120,480,86.2500000000001,1102.55033557047,751.724137931036,960,180.614334470989,720,255.177865612648,480,720,0,480,0,240,0,1200,0,7.05882352941123,452.389380530971,37.5903614457825,0,57.4311926605501,0,61.4723926380372,0,1920,240,997.402597402595,0,0,1398.56115107914,960,160.677966101694,0,10000,264.223107569722,0,240,240,809.302325581391,961.538461538459,0,120,0,0,0,0,131.275167785234,221.314878892735,0,720,240,10000,2664.67289719627,29.8203592814375,0,1440,240,0,480,240,10000,98.9905362776025,49.4224924012165,18.3382789317514,0,1141.62162162162,0,0,65.5384615384615,0,0,0,2135.92173913044,0,838.596491228073,1200,77.8881987577636,0,1680,979.354838709679,0,369.870129870129,0,720,1225.17482517482,0,0,77.8881987577636,720,0,240,221.314878892735,0,0,240,369.870129870129,360,180.614334470989,294.959349593497,720,3423.67346938773,2400,751.724137931036,0,120,120,240,10000,555.918367346935,0,0,10000,0,480,670.994764397904,7685.40000000001,111.974522292993,250.708661417323,480,240
