"","ISO_Code","country","IPAP","DA_drf","DA_lin","NMB_drf","NMB_lin","NMB_relative"
"1","AND","Andorra",38.4,32.0456090650048,21.3971686483088,803.432128264992,536.459541495475,49.7656516697019
"2","ARM","Armenia",22.6,19.5932198244163,23.4909640625,90.5349235431411,108.545336315925,-16.5925256524737
"3","AUT","Austria",30.1,23.5888439414748,12.8023878125,885.753724385857,480.725664813781,84.2534712035754
"4","BLR","Belarus",14.1,11.5392753300259,36.26805875,89.6821888248891,281.872024031372,-68.1833665000726
"5","BEL","Belgium",35.7,29.2028115907425,14.1806878125,1041.27851738039,505.637805967804,105.933675269268
"6","BIH","Bosnia and Herzegovina",25.5,22.2406097429103,18.7850746875,107.840759149274,91.0854845434977,18.3951094839652
"7","BGR","Bulgaria",38.6,32.2008976004025,24.36504125,227.707894781867,172.296819739631,32.1602424966238
"8","HRV","Croatia",31.1,26.9117501002711,18.5997590625,318.157885703569,219.891311262629,44.6887027398614
"9","CYP","Cyprus",44.4,36.5231960259217,9.74263125000001,783.292699454407,208.944801166501,274.880205241491
"10","CZE","Czech Republic",31.1,27.7272543781161,17.70533875,479.52406982741,306.201832294432,56.6039191321097
"11","DNK","Denmark",28.5,24.6026223379212,14.171086875,1118.17502251294,644.06774074088,73.6114001341985
"12","EST","Estonia",32,26.112126757839,21.8330028125,391.654415481838,327.47206055041,19.5993376728236
"13","FIN","Finland",16.6,13.9796248190569,13.587220625,506.015545886211,491.811829761223,2.88803873056167
"14","FRA","France",29.3,23.0814614766536,12.862045625,741.340951016518,413.109072200647,79.4540475878122
"15","GEO","Georgia",18,14.8439361131919,23.9126559375,63.1584106352847,101.744263217268,-37.9243520586373
"16","DEU","Germany",42.2,34.1065523044379,13.1051078125,1203.81629745552,462.554591381152,160.253885678881
"17","GRC","Greece",37.7,32.1512330248846,12.202856875,593.576844737357,225.289439911615,163.47299943141
"18","HUN","Hungary",38.5,32.1321036609307,24.7104171875,401.36795422891,308.662317890783,30.0346465910135
"19","IRL","Ireland",32.7,28.3974457749098,12.759951875,1442.33458713675,648.090679189663,122.551354841296
"20","ITA","Italy",41.4,33.7159974972903,10.7169425,933.283478023085,296.652809129472,214.604631846166
"21","KAZ","Kazakhstan",27.5,25.5712861579258,35.392300625,179.68474992294,248.695221965968,-27.7490140331172
"22","KGZ","Kyrgyzstan",13.9,11.5777906842641,30.77999375,16.5799447692777,44.0784092829839,-62.3853377674448
"23","LVA","Latvia",29.5,24.1087503526901,26.95257125,312.45849911476,349.315490718453,-10.5512044507067
"24","LTU","Lithuania",26.5,22.7726929834897,27.48282625,306.263548808225,369.608807562074,-17.1384603012229
"25","LUX","Luxembourg",28.4,22.2362048808617,11.4931953125,1545.7488448147,798.948987595324,93.4727834710822
"26","MLT","Malta",41.7,32.9924464329708,11.8191184375,660.750694701546,236.705414804693,179.144731541834
"27","MDA","Moldova",11.5,9.27052997086079,34.08934375,20.2261879070817,74.3751947821576,-72.8051967240913
"28","NLD","Netherlands",27.2,23.6181572907462,11.98569625,921.972084643346,467.88058955997,97.052860327127
"29","NOR","Norway",31.7,26.3836704113015,11.37046625,1395.56756995675,601.442244631384,132.036838518398
"30","POL","Poland",32.5,28.2973597992228,21.219020625,341.771328456314,256.280194300931,33.3584631417115
"31","PRT","Portugal",43.4,35.7011928555299,13.174363125,652.805011744064,240.896440332919,170.989895426386
"32","ROU","Romania",35.4,30.2796862367381,23.9818596875,231.014267143329,182.965956025005,26.2607930798656
"33","RUS","Russia",17.1,13.982486654528,36.1675496875,108.670603008314,281.090876822043,-61.33969048127
"34","SRB","Serbia",39.5,33.3002606661514,23.2166309375,195.253691153592,136.129051124976,43.4327864184811
"35","SVK","Slovakia",34.9,29.2649673258601,22.3702359375,501.444740026209,383.305985586812,30.8210043364014
"36","SVN","Slovenia",32.2,25.4107102349156,15.1166709375,495.527994518159,294.786472483468,68.0972638749388
"37","ESP","Spain",26.8,22.1035852219905,10.88069125,554.170478743803,272.795468179393,103.145045789168
"38","SWE","Sweden",23.1,17.9532229970323,10.80739,716.503315323144,431.317026824109,66.1198772046931
"39","CHE","Switzerland",23.7,20.7524049159755,10.2759765625,1339.98507815023,663.520941930517,101.950683613925
"40","TJK","Tajikistan",29.3,24.562852629472,5.6923636907397,35.1751686551101,8.15173448656146,331.50532825987
"41","TUR","Turkey",30.6,26.4436009260916,17.170965625,304.487192906296,197.716609672778,54.0018278738564
"42","GBR","UK",35.9,29.2666133954793,13.3841228125,1181.33851604036,540.246306197592,118.666653059594
"43","UKR","Ukraine",19.6,18.3950053485883,32.9050665625,34.3801516832786,61.4993667101025,-44.0967386780733
"44","UZB","Uzbekistan",19.1,16.1274040131724,34.8802884375,23.0952065987554,49.9502255310451,-53.7635589164633
