"","ISO3 Code","Country","DRF","Lin","DRF","Lin"
"1","AND","Andorra",3.66,52.44,91.82,1314.63
"2","ARM","Armenia",5.57,57.57,25.72,266
"3","AUT","Austria",2.64,31.37,98.96,1178.05
"4","BLR","Belarus",9.88,88.88,76.8,690.75
"5","BEL","Belgium",2.59,34.75,92.27,1239.1
"6","BIH","Bosnia and Herzegovina",4.23,46.03,20.49,223.21
"7","BGR","Bulgaria",4.15,59.71,29.35,422.22
"8","HRV","Croatia",3.75,45.58,44.31,538.86
"9","CYP","Cyprus",1.46,23.87,31.26,512.03
"10","CZE","Czech Republic",3.57,43.39,61.7,750.37
"11","DNK","Denmark",3.01,34.73,136.89,1578.33
"12","EST","Estonia",4.32,53.5,64.82,802.49
"13","FIN","Finland",3.56,33.3,128.93,1205.22
"14","FRA","France",2.69,31.52,86.34,1012.35
"15","GEO","Georgia",6.13,58.6,26.08,249.33
"16","DEU","Germany",2.06,32.11,72.55,1133.52
"17","GRC","Greece",2.12,29.9,39.17,552.09
"18","HUN","Hungary",4.22,60.55,52.71,756.4
"19","IRL","Ireland",2.49,31.27,126.24,1588.19
"20","ITA","Italy",1.71,26.26,47.31,726.97
"21","KAZ","Kazakhstan",7.66,86.73,53.84,609.44
"22","KGZ","Kyrgyzstan",8.41,75.43,12.04,108.02
"23","LVA","Latvia",5.61,66.05,72.73,856.02
"24","LTU","Lithuania",6.07,67.35,81.63,905.75
"25","LUX","Luxembourg",2.45,28.16,170.12,1957.87
"26","MLT","Malta",1.87,28.96,37.52,580.06
"27","MDA","Moldova",9.67,83.54,21.09,182.26
"28","NLD","Netherlands",2.61,29.37,101.96,1146.57
"29","NOR","Norway",2.26,27.86,119.79,1473.87
"30","POL","Poland",4.15,52,50.12,628.03
"31","PRT","Portugal",2.01,32.28,36.8,590.33
"32","ROU","Romania",4.41,58.77,33.62,448.37
"33","RUS","Russia",9.39,88.63,73.02,688.83
"34","SRB","Serbia",3.87,56.89,22.66,333.59
"35","SVK","Slovakia",4.16,54.82,71.2,939.32
"36","SVN","Slovenia",2.98,37.04,58.1,722.39
"37","ESP","Spain",2.39,26.66,59.91,668.5
"38","SWE","Sweden",2.54,26.48,101.38,1056.97
"39","CHE","Switzerland",2.39,25.18,154.32,1626
"40","TJK","Tajikistan",1.19,13.95,1.7,19.98
"41","TUR","Turkey",3.5,42.08,40.28,484.52
"42","GBR","UK",2.43,32.8,97.97,1323.91
"43","UKR","Ukraine",8.21,80.64,15.35,150.71
"44","UZB","Uzbekistan",8.78,85.48,12.57,122.41
