"","ISO_Code","country","IPAP","DA_drf","DA_lin","NMB_drf","NMB_lin","NMB_relative"
"1","AND","Andorra",38.4,41.4501869988967,21.3971686483088,1039.21919193208,536.459541495475,93.7180927074335
"2","ARM","Armenia",22.6,25.1160168331364,23.4909640625,116.054261835139,108.545336315925,6.91777811380054
"3","AUT","Austria",30.1,30.780609321048,12.8023878125,1155.80226876009,480.725664813781,140.428658870921
"4","BLR","Belarus",14.1,14.7981189818257,36.26805875,115.009622599784,281.872024031372,-59.1979292748176
"5","BEL","Belgium",35.7,37.7541520293515,14.1806878125,1346.19186676325,505.637805967804,166.236395078608
"6","BIH","Bosnia and Herzegovina",25.5,28.6618119248496,18.7850746875,138.976025940782,91.0854845434977,52.5775776868309
"7","BGR","Bulgaria",38.6,41.5778986960688,24.36504125,294.017138870602,172.296819739631,70.6457143636839
"8","HRV","Croatia",31.1,34.6627107143758,18.5997590625,409.791808877163,219.891311262629,86.3610738069247
"9","CYP","Cyprus",44.4,47.1456401849992,9.74263125000001,1011.10635941621,208.944801166501,383.910752395552
"10","CZE","Czech Republic",31.1,35.5537873882497,17.70533875,614.878653100536,306.201832294432,100.808286643201
"11","DNK","Denmark",28.5,31.5887825640248,14.171086875,1435.69198313636,644.06774074088,122.910090402115
"12","EST","Estonia",32,33.9043686470634,21.8330028125,508.529841628469,327.47206055041,55.2895354717407
"13","FIN","Finland",16.6,18.1110968261595,13.587220625,655.560980048204,491.811829761223,33.2950816507368
"14","FRA","France",29.3,30.0205599480361,12.862045625,964.214093827479,413.109072200647,133.404240843968
"15","GEO","Georgia",18,19.1006510892563,23.9126559375,81.2700051857839,101.744263217268,-20.123255487892
"16","DEU","Germany",42.2,44.1736126102871,13.1051078125,1559.14072765516,462.554591381152,237.071722280324
"17","GRC","Greece",37.7,41.3854325275457,12.202856875,764.058860161851,225.289439911615,239.145439067896
"18","HUN","Hungary",38.5,41.4793407046996,24.7104171875,518.125993152824,308.662317890783,67.8617580187285
"19","IRL","Ireland",32.7,36.5478107224429,12.759951875,1856.29974987686,648.090679189663,186.425929192173
"20","ITA","Italy",41.4,43.6561166364903,10.7169425,1208.4332481861,296.652809129472,307.356077878464
"21","KAZ","Kazakhstan",27.5,32.5412952989717,35.392300625,228.661729091477,248.695221965968,-8.05543939128517
"22","KGZ","Kyrgyzstan",13.9,14.9123157844874,30.77999375,21.3551426892586,44.0784092829839,-51.5519206871593
"23","LVA","Latvia",29.5,31.2522079122339,26.95257125,405.040403812942,349.315490718453,15.9526028977064
"24","LTU","Lithuania",26.5,29.2301864666418,27.48282625,393.108564107469,369.608807562074,6.35800772725042
"25","LUX","Luxembourg",28.4,28.9856298044054,11.4931953125,2014.93483381909,798.948987595324,152.198183501507
"26","MLT","Malta",41.7,42.8756568993692,11.8191184375,858.685036879587,236.705414804693,262.765269898068
"27","MDA","Moldova",11.5,11.8466714671412,34.08934375,25.8467427343435,74.3751947821576,-65.2481680081004
"28","NLD","Netherlands",27.2,30.4966645148083,11.98569625,1190.48548162574,467.88058955997,154.442160711425
"29","NOR","Norway",31.7,34.0428457740406,11.37046625,1800.70061559516,601.442244631384,199.397096174843
"30","POL","Poland",32.5,36.3931042246118,21.219020625,439.550532832264,256.280194300931,71.5117057840729
"31","PRT","Portugal",43.4,46.0724620231063,13.174363125,842.446195951493,240.896440332919,249.713011444765
"32","ROU","Romania",35.4,39.2242876749148,23.9818596875,299.255745274053,182.965956025005,63.5581568153344
"33","RUS","Russia",17.1,18.1112121138816,36.1675496875,140.758678356374,281.090876822043,-49.9241384324659
"34","SRB","Serbia",39.5,42.9342501574725,23.2166309375,251.74189788488,136.129051124976,84.9288567021328
"35","SVK","Slovakia",34.9,37.8159174498179,22.3702359375,647.962209673138,383.305985586812,69.0456799627479
"36","SVN","Slovenia",32.2,33.2265195687298,15.1166709375,647.942165114605,294.786472483468,119.800508366591
"37","ESP","Spain",26.8,28.4485261293711,10.88069125,713.247791538564,272.795468179393,161.458812457076
"38","SWE","Sweden",23.1,23.4003139265067,10.80739,933.893736557268,431.317026824109,116.521416609437
"39","CHE","Switzerland",23.7,26.7260493411535,10.2759765625,1725.70395865221,663.520941930517,160.082817225222
"40","TJK","Tajikistan",29.3,31.6514486920869,5.6923636907397,45.3263740461017,8.15173448656146,456.033493495458
"41","TUR","Turkey",30.6,34.1021238418623,17.170965625,392.671935632869,197.716609672778,98.603413381781
"42","GBR","UK",35.9,37.8432783538822,13.3841228125,1527.53315488095,540.246306197592,182.747542622209
"43","UKR","Ukraine",19.6,23.552922979494,32.9050665625,44.0202679626688,61.4993667101025,-28.4215914447172
"44","UZB","Uzbekistan",19.1,20.8101460772165,34.8802884375,29.8011150840545,49.9502255310451,-40.3383773201734
