"","ISO_Code","country","IPAP","DA_drf","DA_lin","NMB_drf","NMB_lin","NMB_relative"
"1","AND","Andorra",38.4,53.6537766006292,14.2587746497074,1345.18173258167,357.489153663044,276.286026806169
"2","ARM","Armenia",22.6,31.5664746773887,15.654050700677,145.860067771123,72.3330976749488,101.650520245366
"3","AUT","Austria",30.1,39.0858703289289,8.53133261680519,1467.66222628827,320.348875852425,358.144959111508
"4","BLR","Belarus",14.1,17.4175431912041,24.1685283318769,135.367547152177,187.835584080323,-27.9329591275471
"5","BEL","Belgium",35.7,48.4545876798859,9.4498125064912,1727.73505259282,336.949979138349,412.757132975938
"6","BIH","Bosnia and Herzegovina",25.5,36.5520915538252,12.5181116786756,177.234587865327,60.6980960571058,191.993652813396
"7","BGR","Bulgaria",38.6,53.4711313823715,16.2365235431294,378.119855843157,114.816196755211,229.326233170144
"8","HRV","Croatia",31.1,44.4017355303846,12.3946199317358,524.929157162985,146.532501858386,258.233941620881
"9","CYP","Cyprus",44.4,61.4216412387206,6.49235353388343,1317.27582483886,139.237900258198,846.061253721977
"10","CZE","Czech Republic",31.1,45.7983081269136,11.7985907146148,792.050695129791,204.048628852532,288.167614545556
"11","DNK","Denmark",28.5,40.3176480067609,9.44341457569538,1832.41389265003,429.19775626932,326.939299165441
"12","EST","Estonia",32,43.2064202558358,14.54920845588,648.050824327511,218.222812195888,196.967497488662
"13","FIN","Finland",16.6,22.0912527664683,9.05433425291268,799.629279942927,327.736541497036,143.985390304779
"14","FRA","France",29.3,37.8943474068726,8.5710877506976,1217.10800562505,275.290121935095,342.118299439746
"15","GEO","Georgia",18,23.4793561318232,15.9350602826487,99.9006466154148,67.8009574519199,47.3440057041348
"16","DEU","Germany",42.2,56.9837903102918,8.73306100119592,2011.28553991636,308.239926043329,552.506495746317
"17","GRC","Greece",37.7,53.4664645754367,8.13181356482931,987.099167157472,150.129739474312,557.497422305439
"18","HUN","Hungary",38.5,53.3324373132877,16.466677249126,666.185179917219,205.688262124759,223.880990113645
"19","IRL","Ireland",32.7,47.0096472868899,8.50305390012977,2387.66686090083,431.878586322757,452.85604253517
"20","ITA","Italy",41.4,56.4801281137396,7.14162095710032,1563.41126817964,197.685293045261,690.858664342668
"21","KAZ","Kazakhstan",27.5,41.5597424255931,23.5849353361273,292.032707251602,165.727026073236,76.2130861640822
"22","KGZ","Kyrgyzstan",13.9,17.3309890644516,20.5113583864443,24.8187974132326,29.3732369555032,-15.505405649265
"23","LVA","Latvia",29.5,39.5858034845011,17.9608174333995,513.046946111782,232.778969296017,120.400901191103
"24","LTU","Lithuania",26.5,37.2422657877386,18.3141719671769,500.860767502611,246.302152504239,103.35216822516
"25","LUX","Luxembourg",28.4,36.5399491938569,7.65890500091767,2540.0730276867,532.408458239357,377.091035722192
"26","MLT","Malta",41.7,55.1181884450611,7.87609562407382,1103.8702867869,157.737185865121,599.816140837455
"27","MDA","Moldova",11.5,13.2855098231695,22.7166630537391,28.9859607778017,49.5625921054139,-41.5164551600693
"28","NLD","Netherlands",27.2,38.9207076319636,7.98710075419726,1519.3313140181,311.789096920314,387.294561941147
"29","NOR","Norway",31.7,43.6081407496294,7.57712006600781,2306.65809826914,400.792720381298,475.523950653265
"30","POL","Poland",32.5,46.7949856705004,14.1400592925309,565.182919225573,170.781545810223,230.939105009402
"31","PRT","Portugal",43.4,59.9338014062656,8.77921177518212,1095.90416458097,160.530026803115,582.678615587016
"32","ROU","Romania",35.4,51.0532411458334,15.9811766961043,389.502949151657,121.925960317886,219.458586289698
"33","RUS","Russia",17.1,21.8660678647148,24.1015504949492,169.941072642453,187.315038478745,-9.275264803826
"34","SRB","Serbia",39.5,55.6000598756006,15.471238933727,326.006965167892,90.7145003702604,259.376906489328
"35","SVK","Slovakia",34.9,48.451870774312,14.9072131147973,830.205462855211,255.42976083419,225.022996593624
"36","SVN","Slovenia",32.2,42.5651325160321,10.0735386019697,830.052153484766,196.441592343862,322.543995688956
"37","ESP","Spain",26.8,35.5633710007075,7.2507408394454,891.627766956025,181.787093898465,390.479135693777
"38","SWE","Sweden",23.1,28.8923373124167,7.20189390915892,1153.07738756451,287.423648855189,301.176935912277
"39","CHE","Switzerland",23.7,34.0239050887356,6.84776740879422,2196.92731054069,442.161098127186,396.861284234633
"40","TJK","Tajikistan",29.3,40.4184562814318,3.79331174252577,57.8811442597951,5.43220212723401,965.518971939786
"41","TUR","Turkey",30.6,43.5844783587433,11.4424919197942,501.857349414341,131.755590104727,280.900232783622
"42","GBR","UK",35.9,48.4289668951199,8.9189927043235,1954.82145857319,360.012600826846,442.986954924225
"43","UKR","Ukraine",19.6,30.1714599378281,21.9274772592585,56.3902727676075,40.9823199242942,37.5965852391375
"44","UZB","Uzbekistan",19.1,25.8339085308898,23.2437375580726,36.9953809234847,33.2861333784704,11.1435218468885
