"","ISO3 Code","Country","DRF","Lin","DRF","Lin"
"1","AND","Andorra",5.82,52.44,145.9,1314.63
"2","ARM","Armenia",8.69,57.57,40.18,266
"3","AUT","Austria",4.14,31.37,155.59,1178.05
"4","BLR","Belarus",15.34,88.88,119.25,690.75
"5","BEL","Belgium",4.09,34.75,146.01,1239.1
"6","BIH","Bosnia and Herzegovina",6.62,46.03,32.08,223.21
"7","BGR","Bulgaria",6.6,59.71,46.65,422.22
"8","HRV","Croatia",5.9,45.58,69.77,538.86
"9","CYP","Cyprus",2.31,23.87,49.59,512.03
"10","CZE","Czech Republic",5.62,43.39,97.15,750.37
"11","DNK","Denmark",4.73,34.73,214.86,1578.33
"12","EST","Estonia",6.81,53.5,102.11,802.49
"13","FIN","Finland",5.54,33.3,200.43,1205.22
"14","FRA","France",4.22,31.52,135.69,1012.35
"15","GEO","Georgia",9.54,58.6,40.59,249.33
"16","DEU","Germany",3.27,32.11,115.35,1133.52
"17","GRC","Greece",3.37,29.9,62.21,552.09
"18","HUN","Hungary",6.71,60.55,83.76,756.4
"19","IRL","Ireland",3.92,31.27,199.14,1588.19
"20","ITA","Italy",2.72,26.26,75.29,726.97
"21","KAZ","Kazakhstan",12.02,86.73,84.47,609.44
"22","KGZ","Kyrgyzstan",13.05,75.43,18.69,108.02
"23","LVA","Latvia",8.82,66.05,114.31,856.02
"24","LTU","Lithuania",9.51,67.35,127.89,905.75
"25","LUX","Luxembourg",3.84,28.16,267.02,1957.87
"26","MLT","Malta",2.98,28.96,59.69,580.06
"27","MDA","Moldova",14.98,83.54,32.69,182.26
"28","NLD","Netherlands",4.09,29.37,159.82,1146.57
"29","NOR","Norway",3.57,27.86,188.67,1473.87
"30","POL","Poland",6.54,52,79.05,628.03
"31","PRT","Portugal",3.2,32.28,58.46,590.33
"32","ROU","Romania",6.97,58.77,53.18,448.37
"33","RUS","Russia",14.62,88.63,113.61,688.83
"34","SRB","Serbia",6.15,56.89,36.07,333.59
"35","SVK","Slovakia",6.57,54.82,112.58,939.32
"36","SVN","Slovenia",4.69,37.04,91.55,722.39
"37","ESP","Spain",3.74,26.66,93.88,668.5
"38","SWE","Sweden",3.97,26.48,158.37,1056.97
"39","CHE","Switzerland",3.73,25.18,241.16,1626
"40","TJK","Tajikistan",1.87,13.95,2.68,19.98
"41","TUR","Turkey",5.5,42.08,63.36,484.52
"42","GBR","UK",3.84,32.8,155.18,1323.91
"43","UKR","Ukraine",12.79,80.64,23.91,150.71
"44","UZB","Uzbekistan",13.67,85.48,19.58,122.41
