"","ISO3 Code","Country","DRF","Lin","DRF","Lin"
"1","AND","Andorra",26.23,28.53,657.5,715.28
"2","ARM","Armenia",17.9,31.32,82.72,144.73
"3","AUT","Austria",12.54,17.07,471.04,640.97
"4","BLR","Belarus",18.52,48.36,143.93,375.83
"5","BEL","Belgium",16.25,18.91,579.27,674.18
"6","BIH","Bosnia and Herzegovina",15.89,25.05,77.03,121.45
"7","BGR","Bulgaria",29.99,32.49,212.08,229.73
"8","HRV","Croatia",18.83,24.8,222.64,293.19
"9","CYP","Cyprus",13.61,12.99,291.79,278.59
"10","CZE","Czech Republic",17.93,23.61,310.03,408.27
"11","DNK","Denmark",13.22,18.89,600.69,858.76
"12","EST","Estonia",22.61,29.11,339.18,436.63
"13","FIN","Finland",7.9,18.12,286.1,655.75
"14","FRA","France",12.35,17.15,396.54,550.81
"15","GEO","Georgia",14.92,31.88,63.46,135.66
"16","DEU","Germany",17.48,17.47,616.96,616.74
"17","GRC","Greece",14.75,16.27,272.32,300.39
"18","HUN","Hungary",30.35,32.95,379.12,411.55
"19","IRL","Ireland",13.53,17.01,687.26,864.12
"20","ITA","Italy",14.08,14.29,389.82,395.54
"21","KAZ","Kazakhstan",32.11,47.19,225.66,331.59
"22","KGZ","Kyrgyzstan",15.63,41.04,22.38,58.77
"23","LVA","Latvia",26,35.94,336.99,465.75
"24","LTU","Lithuania",24.01,36.64,322.96,492.81
"25","LUX","Luxembourg",10.69,15.32,743,1065.27
"26","MLT","Malta",15.62,15.76,312.73,315.61
"27","MDA","Moldova",14.63,45.45,31.92,99.17
"28","NLD","Netherlands",10.73,15.98,418.88,623.84
"29","NOR","Norway",11.68,15.16,617.85,801.92
"30","POL","Poland",22.41,28.29,270.62,341.71
"31","PRT","Portugal",18.03,17.57,329.72,321.2
"32","ROU","Romania",27.24,31.98,207.85,243.95
"33","RUS","Russia",21.78,48.22,169.3,374.79
"34","SRB","Serbia",29.28,30.96,171.67,181.51
"35","SVK","Slovakia",25.12,29.83,430.35,511.07
"36","SVN","Slovenia",15.75,20.16,307.13,393.05
"37","ESP","Spain",9.6,14.51,240.75,363.73
"38","SWE","Sweden",8.36,14.41,333.65,575.09
"39","CHE","Switzerland",8.13,13.7,524.88,884.69
"40","TJK","Tajikistan",5.46,7.59,7.82,10.87
"41","TUR","Turkey",17.09,22.89,196.79,263.62
"42","GBR","UK",15.48,17.85,624.82,720.33
"43","UKR","Ukraine",22.1,43.87,41.31,82
"44","UZB","Uzbekistan",22.98,46.51,32.9,66.6
