"","ISO3 Code","Country","DRF","Lin","DRF","Lin"
"1","AND","Andorra",1.96,52.44,49.12,1314.63
"2","ARM","Armenia",2.85,57.57,13.18,266
"3","AUT","Austria",1.37,31.37,51.62,1178.05
"4","BLR","Belarus",4.99,88.88,38.79,690.75
"5","BEL","Belgium",1.37,34.75,48.93,1239.1
"6","BIH","Bosnia and Herzegovina",2.18,46.03,10.58,223.21
"7","BGR","Bulgaria",2.22,59.71,15.72,422.22
"8","HRV","Croatia",1.96,45.58,23.16,538.86
"9","CYP","Cyprus",0.8,23.87,17.1,512.03
"10","CZE","Czech Republic",1.86,43.39,32.25,750.37
"11","DNK","Denmark",1.56,34.73,71.12,1578.33
"12","EST","Estonia",2.27,53.5,33.99,802.49
"13","FIN","Finland",1.81,33.3,65.42,1205.22
"14","FRA","France",1.4,31.52,44.91,1012.35
"15","GEO","Georgia",3.12,58.6,13.26,249.33
"16","DEU","Germany",1.12,32.11,39.37,1133.52
"17","GRC","Greece",1.13,29.9,20.89,552.09
"18","HUN","Hungary",2.26,60.55,28.21,756.4
"19","IRL","Ireland",1.3,31.27,66.26,1588.19
"20","ITA","Italy",0.92,26.26,25.57,726.97
"21","KAZ","Kazakhstan",3.97,86.73,27.88,609.44
"22","KGZ","Kyrgyzstan",4.24,75.43,6.08,108.02
"23","LVA","Latvia",2.92,66.05,37.86,856.02
"24","LTU","Lithuania",3.14,67.35,42.2,905.75
"25","LUX","Luxembourg",1.27,28.16,88.36,1957.87
"26","MLT","Malta",1.01,28.96,20.31,580.06
"27","MDA","Moldova",4.87,83.54,10.62,182.26
"28","NLD","Netherlands",1.35,29.37,52.82,1146.57
"29","NOR","Norway",1.19,27.86,62.74,1473.87
"30","POL","Poland",2.18,52,26.29,628.03
"31","PRT","Portugal",1.1,32.28,20.04,590.33
"32","ROU","Romania",2.33,58.77,17.81,448.37
"33","RUS","Russia",4.77,88.63,37.04,688.83
"34","SRB","Serbia",2.07,56.89,12.16,333.59
"35","SVK","Slovakia",2.2,54.82,37.64,939.32
"36","SVN","Slovenia",1.56,37.04,30.49,722.39
"37","ESP","Spain",1.24,26.66,31,668.5
"38","SWE","Sweden",1.3,26.48,52.03,1056.97
"39","CHE","Switzerland",1.23,25.18,79.34,1626
"40","TJK","Tajikistan",0.62,13.95,0.89,19.98
"41","TUR","Turkey",1.83,42.08,21.05,484.52
"42","GBR","UK",1.29,32.8,51.92,1323.91
"43","UKR","Ukraine",4.19,80.64,7.82,150.71
"44","UZB","Uzbekistan",4.47,85.48,6.4,122.41
