"","ISO_Code","country","IPAP","DA_drf","DA_lin","NMB_drf","NMB_lin","NMB_relative"
"1","AND","Andorra",38.4,22.6779327408607,28.529558197745,568.570244044365,715.279388660631,-20.5107468413121
"2","ARM","Armenia",22.6,13.7983866750194,31.3212854166666,63.7585804597992,144.727115087899,-55.9456564714389
"3","AUT","Austria",30.1,16.3783148939825,17.0698504166667,615.000610140218,640.96755308504,-4.05121020866674
"4","BLR","Belarus",14.1,7.89757338909551,48.3574116666666,61.3792155644574,375.829365375162,-83.6683289760535
"5","BEL","Belgium",35.7,20.6391477125089,18.90758375,735.925753699995,674.183741290403,9.15803936348505
"6","BIH","Bosnia and Herzegovina",25.5,15.6094144763205,25.04676625,75.6872732564663,121.447312724663,-37.6789230173754
"7","BGR","Bulgaria",38.6,22.8470454210771,32.4867216666666,161.562347714001,229.729092986174,-29.6726654800643
"8","HRV","Croatia",31.1,19.0549362016999,24.79967875,225.272536775234,293.188415016838,-23.1645845343868
"9","CYP","Cyprus",44.4,25.9715149997127,12.990175,556.996657099977,278.593068222001,99.9319870572392
"10","CZE","Czech Republic",31.1,19.759082370976,23.6071183333333,341.719936109635,408.269109725908,-16.3003205559566
"11","DNK","Denmark",28.5,17.4294248212679,18.8947825,792.157324703935,858.756987654505,-7.7553561610569
"12","EST","Estonia",32,18.3016618178428,29.1106704166666,274.505662755396,436.629414067212,-37.1307443082292
"13","FIN","Finland",16.6,9.53626333909869,18.1162941666666,345.180758547298,655.749106348295,-47.3608495679813
"14","FRA","France",29.3,16.0924037097732,17.1493941666666,516.863192671394,550.812096267528,-6.16342738770304
"15","GEO","Georgia",18,10.2670096498844,31.88354125,43.6843709457594,135.659017623024,-67.7984024127672
"16","DEU","Germany",42.2,24.1617757842518,17.4734770833333,852.80796501861,616.739455174868,38.276861949234
"17","GRC","Greece",37.7,22.9095171507714,16.2704758333333,422.956061880618,300.385919882153,40.8042234624552
"18","HUN","Hungary",38.5,22.8062514762358,32.9472229166666,284.877037471306,411.549757187709,-30.7794422190918
"19","IRL","Ireland",32.7,20.1608941352737,17.0132691666666,1023.99191636453,864.120905586216,18.5010002355928
"20","ITA","Italy",41.4,23.8805936440452,14.2892566666667,661.032303587092,395.537078839295,67.1227146458414
"21","KAZ","Kazakhstan",27.5,18.3343363285722,47.1897341666666,128.832027370727,331.593629287957,-61.1476168443368
"22","KGZ","Kyrgyzstan",13.9,7.89083469310676,41.0399916666666,11.3000491167133,58.7712123773118,-80.772816044415
"23","LVA","Latvia",29.5,16.8951916832211,35.9367616666666,218.968057587704,465.753987624603,-52.9863268150498
"24","LTU","Lithuania",26.5,16.1045418593617,36.6437683333333,216.585458090293,492.811743416098,-56.0510760987645
"25","LUX","Luxembourg",28.4,15.4279938299257,15.3242604166667,1072.47634064307,1065.26531679376,0.676922803701947
"26","MLT","Malta",41.7,23.2678170181279,15.7588245833333,465.992307971206,315.60721973959,47.6494448877625
"27","MDA","Moldova",11.5,6.26242422438344,45.4524583333333,13.6631853318391,99.1669263762099,-86.2220340680874
"28","NLD","Netherlands",27.2,16.5530985967944,15.9809283333333,646.176356297406,623.840786079958,3.5803318275802
"29","NOR","Norway",31.7,18.6406744678887,15.1606216666666,986.000824144737,801.922992841844,22.9545521136089
"30","POL","Poland",32.5,20.1063923045483,28.2920275,242.84203392636,341.706925734574,-28.9326567191116
"31","PRT","Portugal",43.4,25.4256748735265,17.5658175,464.914661299399,321.195253777224,44.7451840685841
"32","ROU","Romania",35.4,21.3509301963247,31.9758129166666,162.893679068177,243.954608033339,-33.2278736682375
"33","RUS","Russia",17.1,9.57715834673646,48.2233995833333,74.4327957079742,374.787835762723,-80.1400182702041
"34","SRB","Serbia",39.5,23.6923568573101,30.9555079166666,138.918435951467,181.505401499968,-23.4631945917645
"35","SVK","Slovakia",34.9,20.6739680212526,29.82698125,354.241042004049,511.074647449081,-30.6870251200745
"36","SVN","Slovenia",32.2,17.5956373290426,20.15556125,343.128184821407,393.048629977956,-12.7008317416981
"37","ESP","Spain",26.8,15.5618336690572,14.5075883333333,390.158823914822,363.727290905857,7.26685450056214
"38","SWE","Sweden",23.1,12.3632181795117,14.4098533333333,493.409278943828,575.089369098811,-14.2030255720044
"39","CHE","Switzerland",23.7,14.5353538789747,13.7013020833333,938.549405831292,884.694589240686,6.08739074993417
"40","TJK","Tajikistan",29.3,17.3492209230298,7.58981825431958,24.8449062984691,10.8689793154152,128.585459383772
"41","TUR","Turkey",30.6,18.6658854211974,22.8946208333333,214.929996519615,263.62214623037,-18.470432172343
"42","GBR","UK",35.9,20.7058972875234,17.8454970833333,835.78764800663,720.328408263455,16.0286944702793
"43","UKR","Ukraine",19.6,12.9136855679824,43.8734220833333,24.135598778256,81.9991556134699,-70.5660398601821
"44","UZB","Uzbekistan",19.1,11.1717653726182,46.5070512499999,15.9984972871456,66.6003007080599,-75.9783407626424
