"","ISO3 Code","Country","DRF","Lin","DRF","Lin"
"1","AND","Andorra",19.56,28.53,490.28,715.28
"2","ARM","Armenia",12.93,31.32,59.72,144.73
"3","AUT","Austria",9.19,17.07,345.26,640.97
"4","BLR","Belarus",12.74,48.36,99.01,375.83
"5","BEL","Belgium",12.01,18.91,428.41,674.18
"6","BIH","Bosnia and Herzegovina",11.46,25.05,55.55,121.45
"7","BGR","Bulgaria",22.34,32.49,157.98,229.73
"8","HRV","Croatia",13.92,24.8,164.57,293.19
"9","CYP","Cyprus",10.23,12.99,219.47,278.59
"10","CZE","Czech Republic",13.25,23.61,229.16,408.27
"11","DNK","Denmark",9.64,18.89,438.11,858.76
"12","EST","Estonia",16.62,29.11,249.31,436.63
"13","FIN","Finland",5.46,18.12,197.79,655.75
"14","FRA","France",9.1,17.15,292.26,550.81
"15","GEO","Georgia",10.46,31.88,44.51,135.66
"16","DEU","Germany",13.09,17.47,462.03,616.74
"17","GRC","Greece",11.04,16.27,203.88,300.39
"18","HUN","Hungary",22.62,32.95,282.55,411.55
"19","IRL","Ireland",10.04,17.01,510.02,864.12
"20","ITA","Italy",10.58,14.29,292.91,395.54
"21","KAZ","Kazakhstan",23.59,47.19,165.78,331.59
"22","KGZ","Kyrgyzstan",10.77,41.04,15.43,58.77
"23","LVA","Latvia",19.13,35.94,247.98,465.75
"24","LTU","Lithuania",17.46,36.64,234.85,492.81
"25","LUX","Luxembourg",7.8,15.32,542.2,1065.27
"26","MLT","Malta",11.72,15.76,234.66,315.61
"27","MDA","Moldova",9.6,45.45,20.94,99.17
"28","NLD","Netherlands",7.78,15.98,303.71,623.84
"29","NOR","Norway",8.6,15.16,454.89,801.92
"30","POL","Poland",16.65,28.29,201.1,341.71
"31","PRT","Portugal",13.58,17.57,248.22,321.2
"32","ROU","Romania",20.16,31.98,153.82,243.95
"33","RUS","Russia",15.42,48.22,119.87,374.79
"34","SRB","Serbia",21.96,30.96,128.75,181.51
"35","SVK","Slovakia",18.64,29.83,319.32,511.07
"36","SVN","Slovenia",11.57,20.16,225.61,393.05
"37","ESP","Spain",6.97,14.51,174.72,363.73
"38","SWE","Sweden",6.01,14.41,239.83,575.09
"39","CHE","Switzerland",5.82,13.7,376.04,884.69
"40","TJK","Tajikistan",4.03,7.59,5.77,10.87
"41","TUR","Turkey",12.51,22.89,144,263.62
"42","GBR","UK",11.57,17.85,466.93,720.33
"43","UKR","Ukraine",15.66,43.87,29.27,82
"44","UZB","Uzbekistan",16.37,46.51,23.44,66.6
