"","ISO3 Code","Country","DRF","Lin","DRF","Lin"
"1","AND","Andorra",22.94,19.01,575.21,476.65
"2","ARM","Armenia",14.72,20.87,68.04,96.44
"3","AUT","Austria",10.67,11.38,400.64,427.13
"4","BLR","Belarus",13.93,32.22,108.23,250.45
"5","BEL","Belgium",14.06,12.6,501.43,449.27
"6","BIH","Bosnia and Herzegovina",13.19,16.69,63.96,80.93
"7","BGR","Bulgaria",26.22,21.65,185.42,153.09
"8","HRV","Croatia",16.16,16.53,191.05,195.38
"9","CYP","Cyprus",12.1,8.66,259.47,185.65
"10","CZE","Czech Republic",15.38,15.73,266.04,272.06
"11","DNK","Denmark",11.16,12.59,507.22,572.26
"12","EST","Estonia",19.36,19.4,290.3,290.96
"13","FIN","Finland",6.08,12.07,220.19,436.98
"14","FRA","France",10.53,11.43,338.19,367.05
"15","GEO","Georgia",11.73,21.25,49.93,90.4
"16","DEU","Germany",15.43,11.64,544.75,410.99
"17","GRC","Greece",12.93,10.84,238.75,200.17
"18","HUN","Hungary",26.54,21.96,331.56,274.25
"19","IRL","Ireland",11.69,11.34,593.53,575.84
"20","ITA","Italy",12.45,9.52,344.6,263.58
"21","KAZ","Kazakhstan",27.2,31.45,191.11,220.97
"22","KGZ","Kyrgyzstan",11.78,27.35,16.87,39.16
"23","LVA","Latvia",22.16,23.95,287.21,310.37
"24","LTU","Lithuania",20.12,24.42,270.53,328.4
"25","LUX","Luxembourg",9.03,10.21,627.56,709.88
"26","MLT","Malta",13.8,10.5,276.29,210.32
"27","MDA","Moldova",10.23,30.29,22.32,66.08
"28","NLD","Netherlands",8.98,10.65,350.59,415.72
"29","NOR","Norway",10,10.1,529.18,534.39
"30","POL","Poland",19.37,18.85,233.89,227.71
"31","PRT","Portugal",16.02,11.71,292.99,214.04
"32","ROU","Romania",23.59,21.31,179.94,162.57
"33","RUS","Russia",17.16,32.14,133.38,249.75
"34","SRB","Serbia",25.77,20.63,151.09,120.95
"35","SVK","Slovakia",21.77,19.88,373.03,340.57
"36","SVN","Slovenia",13.48,13.43,262.85,261.92
"37","ESP","Spain",8.04,9.67,201.65,242.38
"38","SWE","Sweden",6.86,9.6,273.94,383.23
"39","CHE","Switzerland",6.67,9.13,430.72,589.55
"40","TJK","Tajikistan",4.66,5.06,6.67,7.24
"41","TUR","Turkey",14.53,15.26,167.33,175.67
"42","GBR","UK",13.52,11.89,545.54,480.02
"43","UKR","Ukraine",17.69,29.24,33.06,54.64
"44","UZB","Uzbekistan",18.4,30.99,26.35,44.38
