"","ISO_Code","country","IPAP","S3_DA_drf","S3_DA_lin","S3_NMB_drf","S3_NMB_lin","S3_NMB_relative"
"1","AND","Andorra",38.4,2.16828880991001,52.4351003509153,54.3622962417522,1314.62766662563,-95.8648142267317
"2","ARM","Armenia",22.6,2.84450961298782,57.5660769984299,13.1437029052602,265.997137093147,-95.0587051240866
"3","AUT","Austria",30.1,2.57023593352785,31.3730522347793,96.5115567478005,1178.0483151804,-91.8075043693755
"4","BLR","Belarus",14.1,3.20967277687569,88.8771468480927,24.9452822477394,690.74502842547,-96.3886410728715
"5","BEL","Belgium",35.7,2.24792242231705,34.7506626093827,80.1536975240582,1239.09707554855,-93.5312818417738
"6","BIH","Bosnia and Herzegovina",25.5,2.7180532918891,46.0340006908511,13.1793567619675,223.210678059854,-94.0955527412387
"7","BGR","Bulgaria",38.6,2.10721817938492,59.7080578274978,14.9011441056172,422.224135430423,-96.4707976510091
"8","HRV","Croatia",31.1,2.51103933890679,45.5798731586911,29.6861766331958,538.857414355223,-94.4909031884219
"9","CYP","Cyprus",44.4,1.88424274262889,23.8749273640974,40.4103075550577,512.03230656564,-92.1078597899218
"10","CZE","Czech Republic",31.1,2.46867863803865,43.3880402291721,42.6941236757505,750.366745614342,-94.3102324396325
"11","DNK","Denmark",28.5,2.56947911665457,34.7271349114172,116.781346705602,1578.32829070143,-92.600947002369
"12","EST","Estonia",32,2.45195275376294,53.503139235468,36.7767103564559,802.490770592629,-95.4171796481476
"13","FIN","Finland",16.6,3.11135018066329,33.296334139901,112.620444431763,1205.21565591975,-90.6555773750036
"14","FRA","France",29.3,2.59982152310183,31.5192474364235,83.502258397242,1012.34962497837,-91.7516383335425
"15","GEO","Georgia",18,3.04156325780784,58.5994593185968,12.9413317158581,249.330681998857,-94.8095711237346
"16","DEU","Germany",42.2,1.99917103954894,32.1148865325374,70.5622385202787,1133.51896297571,-93.7749397385431
"17","GRC","Greece",37.7,2.20843789503041,29.9038641665825,40.7722340389236,552.085866309267,-92.6148745101031
"18","HUN","Hungary",38.5,2.11091485762938,60.5544231685979,26.3678216309344,756.396319492885,-96.5140203685004
"19","IRL","Ireland",32.7,2.43730991737393,31.2690603152001,123.793401042633,1588.18675303982,-92.2053624483588
"20","ITA","Italy",41.4,1.99327773333035,26.2625380338303,55.1753859804392,726.966266974498,-92.4101862098679
"21","KAZ","Kazakhstan",27.5,2.60310301188087,86.7310467765239,18.2915286632343,609.44319946786,-96.9986491474176
"22","KGZ","Kyrgyzstan",13.9,3.20786594767228,75.428300239591,4.59381601292384,108.016899434246,-95.7471321274869
"23","LVA","Latvia",29.5,2.55834696270507,66.0489619649117,33.1571417218825,856.019462715177,-96.126590204303
"24","LTU","Lithuania",26.5,2.67954358345603,67.3483850144548,36.0364287021533,905.749505163214,-96.0213692089559
"25","LUX","Luxembourg",28.4,2.64066487042009,28.1647941121986,183.565707136822,1957.87447528177,-90.6242351358912
"26","MLT","Malta",41.7,2.08412717153566,28.9634891193256,41.7395078366291,580.061426952866,-92.8042952181993
"27","MDA","Moldova",11.5,3.27021730335296,83.5380694430981,7.13487037769269,182.261067626326,-96.0853568616636
"28","NLD","Netherlands",27.2,2.65015471818559,29.3716984697419,103.452976456817,1146.57065470022,-90.9771826068699
"29","NOR","Norway",31.7,2.4049305464764,27.8640388667765,127.20910420497,1473.87184589112,-91.3690525699635
"30","POL","Poland",32.5,2.44439262393431,51.9985374750953,29.523012757317,628.030648680406,-95.2991127392668
"31","PRT","Portugal",43.4,1.91579217350296,32.2846010083383,35.0307267710542,590.331797194732,-94.0659258170539
"32","ROU","Romania",35.4,2.31303433456457,58.7690474372658,17.6469441426535,448.369521344618,-96.0641963151884
"33","RUS","Russia",17.1,3.07690219839669,88.630843102724,23.913401497086,688.830778321484,-96.5284069397484
"34","SRB","Serbia",39.5,2.11432314955084,56.8938065137043,12.3971822136791,333.59275583301,-96.2837375821539
"35","SVK","Slovakia",34.9,2.33731806201259,54.8196626168658,40.0491083729585,939.315296789959,-95.7363508813469
"36","SVN","Slovenia",32.2,2.48282878386751,37.0443478110469,48.4170318982787,722.392692267942,-93.2976852594848
"37","ESP","Spain",26.8,2.67369161243503,26.6638145896079,67.0335127082603,668.502360493009,-89.9725839922503
"38","SWE","Sweden",23.1,2.80005272451084,26.4841852908548,111.748573530405,1056.96935684844,-89.4274538039963
"39","CHE","Switzerland",23.7,2.7960530553234,25.1819234177476,180.541454690173,1625.99957718286,-88.8965866151717
"40","TJK","Tajikistan",29.3,2.49873187878005,13.949493330812,3.57830243033452,19.9763353209188,-82.0872929251073
"41","TUR","Turkey",30.6,2.53406807912986,42.078525456692,29.1787520997709,484.516920889638,-93.9777640693756
"42","GBR","UK",35.9,2.20949433436389,32.7986302448424,89.1856096530867,1323.9073704231,-93.2634554617983
"43","UKR","Ukraine",19.6,2.95216803150327,80.6359241083334,5.51758386552454,150.708045441183,-96.3388922937907
"44","UZB","Uzbekistan",19.1,2.97877635197157,85.476328880258,4.26574885853175,122.406152483086,-96.5150862338221
